Received Total CAD 35764.58
Received Total EUR 1309.79 EUR = 1791.923699 in CAD(2013)
Received Total USD 4220.88 USD = 4343.28552 in CAD(2013)
Year End Balance Total CAD 9012.96
Year End Balance Total EUR 1016.57 EUR = 1390.769417 in CAD(2013)
Year End Balance Total USD 2940.88 USD = 3026.16552 in CAD(2013)
------------------------------------------------------------------------------------------
Date, Time, Time Zone, Type, Currency, Net
12/31/2013,17:05:53,GMT-05:00,Donation Received,USD,48.25
12/30/2013,22:26:22,GMT-05:00,Donation Received,USD,9.41
12/30/2013,14:21:29,GMT-05:00,Donation Received,EUR,14.06
12/30/2013,13:46:28,GMT-05:00,Donation Received,USD,9.41
12/30/2013,12:55:12,GMT-05:00,Donation Received,USD,145.35
12/30/2013,07:13:34,GMT-05:00,Donation Received,USD,1.62
12/27/2013,11:55:00,GMT-05:00,Donation Received,USD,18.92
12/27/2013,11:32:51,GMT-05:00,Donation Received,EUR,47.70
12/27/2013,09:58:39,GMT-05:00,Donation Received,USD,485.20
12/26/2013,05:22:50,GMT-05:00,Recurring Payment Received,USD,48.25
12/25/2013,08:38:15,GMT-05:00,Donation Received,CAD,95.80
12/24/2013,13:51:30,GMT-05:00,Donation Received,USD,96.80
12/23/2013,09:22:51,GMT-05:00,Donation Received,EUR,0.32
12/21/2013,18:39:43,GMT-05:00,Donation Received,USD,96.80
12/21/2013,11:40:59,GMT-05:00,Donation Received,CAD,48.25
12/20/2013,19:37:40,GMT-05:00,Donation Received,USD,9.31
12/20/2013,10:05:20,GMT-05:00,Donation Received,USD,48.25
12/20/2013,05:18:48,GMT-05:00,Recurring Payment Received,EUR,9.26
12/19/2013,15:40:14,GMT-05:00,Donation Received,EUR,18.87
12/19/2013,14:22:24,GMT-05:00,Donation Received,USD,48.25
12/19/2013,07:29:40,GMT-05:00,Donation Received,USD,0.66
12/18/2013,06:09:34,GMT-05:00,Donation Received,EUR,18.87
12/17/2013,13:43:36,GMT-05:00,Donation Received,CAD,47.75
12/17/2013,03:25:26,GMT-05:00,Donation Received,USD,9.31
12/15/2013,19:06:56,GMT-05:00,Donation Received,USD,14.11
12/15/2013,05:12:04,GMT-05:00,Recurring Payment Received,USD,9.41
12/13/2013,01:03:17,GMT-05:00,Donation Received,EUR,9.26
12/12/2013,06:57:33,GMT-05:00,Donation Received,USD,0.95
12/11/2013,23:39:30,GMT-05:00,Donation Received,USD,9.41
12/11/2013,22:11:10,GMT-05:00,Donation Received,USD,4.55
12/10/2013,05:17:29,GMT-05:00,Recurring Payment Received,EUR,9.26
12/8/2013,12:59:48,GMT-05:00,Donation Received,EUR,18.87
12/8/2013,05:16:42,GMT-05:00,Recurring Payment Received,EUR,9.26
12/7/2013,05:32:52,GMT-05:00,Recurring Payment Received,USD,9.31
12/6/2013,05:28:10,GMT-05:00,Recurring Payment Received,USD,9.31
12/5/2013,09:04:00,GMT-05:00,Donation Received,USD,0.00
11/30/2013,03:52:38,GMT-05:00,Donation Received,CAD,33.33
